20210905 暗潮涌动的“数据战”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/909a07c5c15843159993bbdea3ba6ca7/main.m3u8
20210829 水从天上来,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4b4c4d023bb5472196a99a9ad64d376a/main.m3u8
20210822 神秘的古代文明,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/546190e050344e129e6a322b5418e14c/main.m3u8
20210815 假如地球“急刹车”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/30472297e8ed48b8b4b6639ea32f2224/main.m3u8
20210808 飞碟探秘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/0a57958cf04044a3a2a5286b36922d9c/main.m3u8
20210801 奇妙的人体,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9ea919a3c40b42b795c093f948587a50/main.m3u8
20210725 揭开黑洞之谜（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/c65c57f65d27440cadb18589949d3812/main.m3u8
20210718 揭开黑洞之谜（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/bed71fcc41064eb394e76ca259aff6ac/main.m3u8
20210711 科技改变生活（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/ff3a127ca7cd490cb72a5bb656cc89a2/main.m3u8
20210530 善变的风,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/091cf9395dcc4ef9ac266bfeb66c1d8d/main.m3u8
20210704 科技改变生活（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/041d6b4c93f54933876705bed620d3cc/main.m3u8
20210627 太阳与人（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/e8dca8ed00484974a4c198b38e5319a9/main.m3u8
20210620 太阳与人（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/784f1f69b1444be197f4bb1b775134ea/main.m3u8
20210619 “不言自明”的未来沟通,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/05029273d6604ef19a616b54bf02b375/main.m3u8
20210613 钻石的秘密,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/3dbceaeb040f4d9dadc66f37de29d415/main.m3u8
20210606 带上TA的眼睛,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b639bc95a0514f3287df0c285c4b4827/main.m3u8
20210529 不请自来的“客人”们,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/ba4eecf868134e65a516ba837d45e212/main.m3u8
20210523 探秘欧罗巴,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4870cab2d14145d3a78af2319a45a409/main.m3u8
20210516 人类的“再生”梦,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/30821d2c89714b4da34b7d82e53d4e19/main.m3u8
20210509 章鱼的科幻之旅,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/8e559faf7d104a6caf699c159844ff44/main.m3u8
20210501 机器人劳动者,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/72c9ac42d3bb4baa9dfa3874e5416470/main.m3u8
20210425 假如“后天”来临,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/7a61d7b5fb29401aa237ff8f8d75cf95/main.m3u8
20210424 花样百出的机器人,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/92bdad2769864d50a58fa9878cccb273/main.m3u8
20210418 科幻预言家——乔治·卢卡斯（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/52cd4a1602114d47b03e3c9ec5687d8b/main.m3u8
20210411 科幻预言家——乔治·卢卡斯（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b3adb7a297cc42c2a210ec7abf281e84/main.m3u8
20210404 人类能否“永生”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/647448dc1382435992d0159934cd92f0/main.m3u8
20210328 科幻预言家—菲利普·迪克（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/a0b71c6e12304db59c6f4816921d90eb/main.m3u8
20210321 科幻预言家—菲利普·迪克（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/040a8d04d0094de3a69edf50f859d9de/main.m3u8
20210314 在太空安个家（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4f2b7f9926064172a3c930c5c59dd928/main.m3u8
20210307 在太空安个家（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9230af2b1f6046878ee72a6fa7c81dcc/main.m3u8
20210228 科幻预言家—亚瑟·克拉克（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b5103823074a4b91b5b9aba927d9ab31/main.m3u8
20210221 科幻预言家—亚瑟·克拉克（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4a1c53361a704d5394bbad1eb7aa08b1/main.m3u8
20210207 地球上的“外星之旅”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/66ff84cdf7274915966ac0f5a83f84b2/main.m3u8
20210131 金属狂潮,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/cd1c06440e25415787025a6b3d1753cf/main.m3u8
20210124 科幻预言家—艾萨克·阿西莫夫（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/0197298625704162a5e66f16807b7bcf/main.m3u8
20210117 科幻预言家—艾萨克·阿西莫夫（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/99f996a71eba4c82b49ba2909e6f92aa/main.m3u8
20210110 科幻预言家—赫伯特·威尔斯（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/86278d12c20440dcba5e0cb3701719fb/main.m3u8
20210103 2020的科幻与现实,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/f58f99e662214564817b80d5e1b0e1af/main.m3u8
2020,#genre#
20201227 科幻预言家—赫伯特·威尔斯（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/a5d9b7b2639141b9aebcf88e408d636f/main.m3u8
20201220 科幻预言家—儒勒·凡尔纳（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/f12b38f9b2744b07b68eb1d82e4619cd/main.m3u8
20201213 科幻预言家—儒勒·凡尔纳（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/5baaa11a8fda43d393c34e427740ba3e/main.m3u8
20201206 科幻预言家—玛丽·雪莱（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/50d637165b1946c0a18fd8d9c3c6702a/main.m3u8
20201205 一起去穿越,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/82b9ec63c0654d6daf0ebc3168c27325/main.m3u8
20201129 科幻预言家—玛丽·雪莱（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/ee1b97fc7860492bb5b7d7ecc602de74/main.m3u8
20201122 超级洪水,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/19beff48a3df42ba978f47efc8b2061d/main.m3u8
20201115 太阳的力量,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/baa3f7097d724bb19bd1ee6afb3cbfdb/main.m3u8
20201108 假如地球停止自转（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/f2dc564d0fd749a0af1767f82b2c8663/main.m3u8
20201101 假如地球停止自转（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/0c5364b526e5411ab9a07f21befce7fb/main.m3u8
20201025 火星上的那些事儿,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1bffd28ce4604596bfd9d685296d4846/main.m3u8
20201018 唤醒巨人,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2d80b8fa286f4c95abe3fc14d5168527/main.m3u8
20201011 地球上的“外星之旅”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d7d2fa05ff6d4d7d8b67efb3eee635d0/main.m3u8
20200927 “波动”的奥秘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1091179cbc8449bf9e42aad3f0541290/main.m3u8
20200920 神奇动物从哪来,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/664aff65eb62479dab6258eeb2c96a38/main.m3u8
